#;N_P;EB_P_OA_100;EB_P_OA_200;EB_P_OA_300;EB_P_OA_400;EB_P100;EB_P200;EB_P300;EB_P400;IB_P_OA100;IB_P_OA200;IB_P_OA300;IB_P_OA400;IB_P100;IB_P200;IB_P300;IB_P400;IB_PL_OA100;IB_PL_OA200;IB_PL_OA300;IB_PL_OA400;IB_PL100;IB_PL200;IB_PL300;IB_PL400;IB_PL_OA_U100;IB_PL_OA_U200;IB_PL_OA_U300;IB_PL_OA_U400;IB_PL_U100;IB_PL_U200;IB_PL_U300;IB_PL_U400
100;5170680;3265376;3265376;3265376;3265376;3298157;3298157;3298157;3298157;3003282;3003282;3003282;3003282;3035908;3035908;3035908;3035908;2395894;2395894;2395894;2395894;2428674;2428674;2428674;2428674;4424280;4424280;4424280;4424280;4424280;4424280;4424280;4424280
200;10341040;6530432;6507898;6507898;6507898;6595994;6573158;6573158;6573158;6006244;5983603;5983603;5983603;6071496;6048708;6048708;6048708;4791468;4768915;4768915;4768915;4857028;4834174;4834174;4834174;8848240;8848240;8848240;8848240;8848240;8848240;8848240;8848240
300;15511208;9795296;9772762;9750331;9750331;9893639;9870803;9848252;9848252;9009014;8986373;8963835;8963835;9106892;9084104;9061600;9061600;7186850;7164297;7141847;7141847;7285190;7262336;7239766;7239766;13272008;13272008;13272008;13272008;13272008;13272008;13272008;13272008
400;20681760;13060544;13015476;13015579;12993123;13191668;13145996;13146281;13123758;12012168;11966886;11966989;11944426;12142672;12097096;12097380;12074904;9582616;9537510;9537613;9515138;9713736;9668028;9668312;9645770;17696160;17696160;17696160;17696160;17696160;17696160;17696160;17696160
500;25852312;16325792;16280724;16258293;16258371;16489697;16444025;16421474;16421787;15015322;14970040;14947502;14947580;15178452;15132876;15110372;15110684;11978382;11933276;11910826;11910904;12142282;12096574;12074004;12074316;22120312;22120312;22120312;22120312;22120312;22120312;22120312;22120312
600;31022160;19590336;19522734;19500406;19500381;19787022;19718514;19696248;19696276;18017772;17949849;17927414;17927389;18213528;18145164;18122944;18122972;14373444;14305785;14283438;14283413;14570124;14501562;14479276;14479304;26543760;26543760;26543760;26543760;26543760;26543760;26543760;26543760
700;36193352;22856224;22788622;22766294;22743838;23085691;23017183;22994917;22972394;21021566;20953643;20931208;20908645;21249948;21181584;21159364;21136888;16769850;16702191;16679844;16657369;16999310;16930748;16908462;16885920;30878952;30878952;30878952;30878952;30878952;30878952;30878952;30878952
800;41364224;26121792;26031656;26009328;25986950;26384040;26292696;26270430;26248220;24025040;23934476;23912041;23889556;24286048;24194896;24172676;24150512;19165936;19075724;19053377;19030980;19428176;19336760;19314474;19292244;35393024;35393024;35393024;35393024;35393024;35393024;35393024;35393024
900;46534648;29386912;29296776;29252017;29252070;29681941;29590597;29545780;29546121;27028066;26937502;26892529;26892582;27321700;27230548;27185824;27186164;21561574;21471362;21426565;21426618;21856594;21765178;21720322;21720662;39817048;39817048;39817048;39817048;39817048;39817048;39817048;39817048
1000;51704880;32651840;32539170;32516945;32494464;32979650;32865470;32843489;32820994;30030900;29917695;29895363;29872775;30357160;30243220;30221284;30198836;23957020;23844255;23822011;23799511;24284820;24170550;24148548;24126034;44240880;44240880;44240880;44240880;44240880;44240880;44240880;44240880
